energy,intensity
43.327,0.0140018
46.0491,0.016367
48.7713,0.0233833
51.1909,0.0350464
53.0057,0.0536774
54.518,0.072304
56.0302,0.0932563
56.6352,0.116521
57.845,0.130492
58.4499,0.153757
59.6597,0.174704
60.2647,0.197969
60.8696,0.218908
61.4745,0.242173
62.3819,0.263116
62.9868,0.286381
63.2892,0.309641
63.5917,0.330575
64.4991,0.339891
64.8015,0.363151
65.4064,0.386416
65.7089,0.40735
66.6163,0.430619
67.2212,0.453884
67.5236,0.477144
67.8261,0.500404
68.1285,0.523665
69.0359,0.516701
69.6408,0.539966
70.2457,0.560905
71.4556,0.570225
71.758,0.591159
72.0605,0.614419
72.3629,0.63768
72.9679,0.656293
73.5728,0.642348
74.1777,0.665613
74.4802,0.688873
74.7826,0.712133
75.3875,0.719119
75.69,0.700519
75.9924,0.723779
76.5974,0.747044
76.8998,0.770304
77.2023,0.793564
78.4121,0.798233
79.017,0.821497
79.3195,0.844758
80.5293,0.837798
80.8318,0.856407
81.1342,0.879668
81.7391,0.89363
82.6465,0.886666
83.2514,0.909931
83.8563,0.933196
85.0662,0.930888
88.0907,0.982094
89.3006,0.965833
90.5104,0.986781
91.4178,0.984468
92.6276,0.972858
93.535,0.977522
94.4423,0.961256
95.6522,0.958948
97.1645,0.949668
98.0718,0.938053
99.2817,0.935745
100.189,0.921805
101.399,0.903218
102.609,0.886957
104.121,0.875351
104.726,0.854429
105.633,0.831187
106.843,0.831204
107.448,0.807957
108.053,0.789361
109.263,0.777751
110.17,0.756834
111.38,0.733596
112.59,0.717334
113.8,0.696422
115.312,0.687141
116.219,0.66855
117.429,0.647637
118.336,0.624394
119.546,0.603482
120.756,0.584895
121.966,0.563982
123.176,0.540744
124.083,0.519827
124.991,0.496584
125.898,0.475667
127.108,0.464057
128.015,0.44314
129.83,0.424561
130.737,0.403644
131.645,0.380402
133.459,0.364149
134.972,0.345566
136.484,0.329309
137.996,0.308401
139.206,0.287488
141.021,0.273561
142.533,0.257304
144.348,0.241052
145.255,0.220135
146.163,0.220148
147.675,0.231798
148.28,0.208551
148.582,0.185299
149.49,0.187638
150.397,0.208581
151.607,0.19232
153.119,0.178388
154.934,0.157485
157.353,0.148217
159.471,0.131969
161.89,0.125027
163.705,0.106449
165.822,0.0971776
167.94,0.106511
170.359,0.0972436
172.476,0.087972
173.989,0.0693894
176.711,0.0717545
177.921,0.0531675
179.13,0.0671385
180.34,0.0601794
181.853,0.0392711
183.97,0.0486042
186.692,0.041667
189.716,0.0440366
191.834,0.0394162
194.253,0.0394514
196.975,0.027863
